summary_id,period_no,event_id,mean,standard_deviation,exposure_value,occ_year,occ_month,occ_day
2,9149,26,9817.25,12402.59,1940835.50,9149,1,1
2,8860,42,45947.05,35432.23,2498433.50,8860,1,1
2,8469,56,17787.07,18194.99,894283.06,8469,1,1
2,7588,93,18656.23,18867.80,1703425.75,7588,1,1
2,6978,119,33554.23,27888.58,2234380.50,6978,1,1
2,6882,125,3215.24,11823.43,767212.62,6882,1,1
2,6537,138,8911.80,12049.28,1570400.50,6537,1,1
2,6499,139,2479.72,12396.02,767212.62,6499,1,1
2,6014,153,1540.66,12315.32,430760.38,6014,1,1
2,5619,165,6706.15,10335.21,857113.00,5619,1,1
2,5189,179,5.79,57.89,323018.06,5189,1,1
2,4518,198,1.62,16.17,1042802.56,4518,1,1
2,3821,217,9468.85,15421.02,1919840.50,3821,1,1
2,2915,240,26884.76,27258.26,2234380.50,2915,1,1
2,2303,262,13031.08,18210.82,1570400.50,2303,1,1
2,2048,270,545.86,2351.29,1042802.56,2048,1,1
2,1702,283,8860.64,9347.61,1157873.00,1702,1,1
2,1664,284,548.25,2249.02,386865.22,1664,1,1
2,650,316,44470.41,30079.91,2234380.50,650,1,1
2,207,328,3675.86,5827.52,2371363.00,207,1,1
2,8093,100050,6902.17,11226.60,1042802.56,8093,1,1
2,7644,100065,18533.37,14042.63,894283.06,7644,1,1
2,6265,100110,33.92,339.24,323018.06,6265,1,1
2,5586,100136,3457.50,5542.76,265794.81,5586,1,1
2,3019,100211,59048.09,33539.63,2791978.25,3019,1,1
2,2837,100221,13054.44,16190.15,1570400.50,2837,1,1
2,2379,100228,434.97,1725.01,1231632.38,2379,1,1
2,1786,100257,1831.59,3621.43,111320.38,1786,1,1
2,8696,200041,7460.82,9775.74,386865.22,8696,1,1
2,6902,200098,6253.23,11928.08,1570400.50,6902,1,1
2,6392,200122,15034.14,19364.15,1570400.50,6392,1,1
2,5376,200158,14496.01,16091.94,1570400.50,5376,1,1
2,5189,200162,5659.52,8619.28,1300810.50,5189,1,1
2,4218,200196,3212.54,14088.69,767212.62,4218,1,1
2,1381,200306,4519.26,8386.80,1042802.56,1381,1,1
2,910,200324,6407.85,8956.35,1042802.56,910,1,1
2,398,200341,81.80,738.99,505848.00,398,1,1
2,9291,300023,42681.16,35019.40,2791978.25,9291,1,1
2,8745,300033,10746.05,15623.60,1570400.50,8745,1,1
2,8093,300055,1143.43,3274.44,1042802.56,8093,1,1
2,7912,300062,9826.42,10466.30,1169827.75,7912,1,1
2,4559,300170,10846.71,13962.16,1570400.50,4559,1,1
2,4072,300185,17.12,141.49,265794.81,4072,1,1
2,2919,300222,15421.59,14155.04,894283.06,2919,1,1
2,2680,300229,8176.19,10468.63,355695.22,2680,1,1
2,2016,300258,13998.67,16263.44,2021923.25,2016,1,1
2,914,300300,1076.91,4354.46,505848.00,914,1,1
2,363,300321,2582.77,6404.17,1570400.50,363,1,1
2,67,300329,16348.46,14131.25,2498433.50,67,1,1
2,9493,400017,17715.94,22805.28,2371363.00,9493,1,1
2,9480,400021,59194.48,36260.82,2791978.25,9480,1,1
2,7990,400070,22572.77,24959.56,1169827.75,7990,1,1
2,7640,400080,5735.15,8134.96,265794.81,7640,1,1
2,3655,400222,9997.98,16683.17,2371363.00,3655,1,1
2,2436,400263,9712.65,13221.02,1390711.00,2436,1,1
2,8395,500042,10152.16,11194.00,1169827.75,8395,1,1
2,7863,500057,6381.57,10606.78,1570400.50,7863,1,1
2,6545,500097,14344.51,15145.11,1324347.25,6545,1,1
2,5511,500121,81.37,813.74,1042802.56,5511,1,1
2,4441,500168,2793.67,15873.08,321690.00,4441,1,1
2,4362,500170,146.33,1108.41,505848.00,4362,1,1
2,4327,500171,13898.20,16083.87,1570400.50,4327,1,1
2,2952,500219,22700.04,23027.90,1570400.50,2952,1,1
2,2761,500228,9067.68,10822.57,1570400.50,2761,1,1
2,2673,500232,17327.47,22852.34,894283.06,2673,1,1
2,810,500291,14682.46,18351.69,1570400.50,810,1,1
2,9128,600024,7224.04,11671.19,1570400.50,9128,1,1
2,8354,600044,36.70,367.00,33420.00,8354,1,1
2,7755,600063,628.92,2350.93,265794.81,7755,1,1
2,5909,600119,2095.64,5284.51,1042802.56,5909,1,1
2,5196,600138,6.62,66.16,1042802.56,5196,1,1
2,4300,600168,3442.68,11552.55,857113.00,4300,1,1
2,3479,600210,10815.74,13465.23,857113.00,3479,1,1
2,2984,600225,28237.73,30748.18,2498433.50,2984,1,1
2,2425,600241,1885.12,6814.27,505848.00,2425,1,1
2,2266,600246,4834.88,6896.19,265794.81,2266,1,1
2,1530,600279,23098.76,26601.08,1754649.25,1530,1,1
2,4940,700158,16264.10,22258.78,894283.06,4940,1,1
2,4828,700163,7871.23,13328.53,2371363.00,4828,1,1
2,2227,700258,18959.05,22064.13,2791978.25,2227,1,1
2,1991,700268,1393.32,3158.37,111320.38,1991,1,1
2,1560,700288,11369.18,16870.41,1570400.50,1560,1,1
2,1107,700301,28020.18,22527.27,2371363.00,1107,1,1
2,1048,700303,26.57,265.72,1042802.56,1048,1,1
2,5197,800140,13008.75,16868.50,1570400.50,5197,1,1
2,4268,800167,11043.48,11613.44,265794.81,4268,1,1
2,2700,800210,7184.84,8777.04,1042802.56,2700,1,1
2,1605,800258,7178.35,9896.87,1042802.56,1605,1,1
2,1135,800270,15990.19,27515.28,2461263.00,1135,1,1
2,919,800276,18430.98,21923.86,2498433.50,919,1,1
2,9005,900022,12614.08,18187.28,1570400.50,9005,1,1
2,6837,900082,2.28,22.81,1581072.38,6837,1,1
2,4407,900171,31.28,304.93,505848.00,4407,1,1
2,3708,900203,29976.83,33112.26,1169827.75,3708,1,1
2,2944,900233,61156.86,36581.12,2791978.25,2944,1,1
2,910,900307,2418.83,5613.23,1042802.56,910,1,1
2,698,900312,4764.13,7146.92,265794.81,698,1,1
2,9344,1000022,4730.84,10698.54,1169827.75,9344,1,1
2,8311,1000050,33395.50,30684.41,2498433.50,8311,1,1
2,7867,1000068,14016.72,20270.01,2371363.00,7867,1,1
